Станция,Долгота,Широта
Третьяковская,37.625624,55.74073
Медведково,37.661562,55.888103
Первомайская,37.799364,55.794376
Калужская,37.540075,55.656682
Каховская,37.597955,55.65278
Бульвар адмирала Ушакова,37.542329,55.545207
Павелецкая,37.638693,55.729741
Волжская,37.754314,55.690446
Шаболовская,37.607892,55.718828
Тимирязевская,37.574498,55.81866
ВДНХ,37.640751,55.819626
Тверская,37.603918,55.765343
Фонвизинская,37.588056,55.822778
Воронцовская,37.539446,55.658845
Дмитровская,37.581734,55.808056
Новые Черёмушки,37.554493,55.670077
Улица Милашенкова,37.591206,55.821876
Пушкинская,37.604356,55.765607
Маяковская,37.596192,55.769808
Нижегородская,37.72825,55.732222
Ботанический сад,37.637811,55.844597
Белорусская,37.582107,55.777439
Красногвардейская,37.742697,55.614075
Комсомольская,37.654565,55.774072
Нагатинская,37.620917,55.682099
Алтуфьево,37.586473,55.899034
Новопеределкино,37.3544,55.6385
Автозаводская,37.657008,55.706634
Текстильщики,37.732117,55.709211
Кожуховская,37.68544,55.706156
Марьино,37.743844,55.649158
Преображенская площадь,37.713582,55.796322
Новослободская,37.601252,55.779606
Фили,37.514035,55.746763
Кунцевская,37.445985,55.728707
Домодедовская,37.717111,55.610131
Мневники,37.47139,55.761148
Охотный ряд,37.615078,55.757228
Новокосино,37.864052,55.745113
Курская,37.659039,55.758564
Лухмановская,37.900569,55.708516
Достоевская,37.613889,55.781667
Международная,37.533282,55.748324
Борисово,37.743333,55.6325
Выставочный центр,37.638494,55.824086
Беговая,37.545518,55.773505
Терехово,37.459738,55.748108
Савёловская,37.587163,55.794054
Волоколамская,37.382453,55.835154
Парк Победы,37.516865,55.735679
Чертановская,37.606065,55.640538
Филёвский парк,37.483902,55.739665
Фрунзенская,37.58022,55.727462
Кузнецкий мост,37.624423,55.761498
Лубянка,37.625336,55.759889
Улица Сергея Эйзенштейна,37.644997,55.829305
Водный стадион,37.487515,55.838978
Улица 1905 года,37.562271,55.763944
Ломоносовский проспект,37.516063,55.70706
Марксистская,37.65604,55.740746
Боровское шоссе,37.3701,55.647
Партизанская,37.74882,55.788401
Улица академика Янгеля,37.601498,55.596753
Краснопресненская,37.577114,55.760378
Авиамоторная,37.717444,55.751933
Чкаловская,37.659293,55.755951
Тульская,37.622569,55.70961
Лермонтовский проспект,37.851044,55.702036
Спартак,37.4352,55.8182
Арбатская,37.60349,55.752312
Аннино,37.596999,55.583477
Севастопольская,37.59809,55.651451
Профсоюзная,37.562595,55.677671
Улица Горчакова,37.532063,55.542281
Мякинино,37.385214,55.823342
Октябрьская,37.611049,55.729264
Пионерская,37.466728,55.736027
